Team 1,Team 2,Wins
Miami Heat,Minnesota Timberwolves,2
Miami Heat,New Orleans Pelicans,1
Miami Heat,New York Knicks,1
Miami Heat,Oklahoma City Thunder,0
Miami Heat,Orlando Magic,1
Miami Heat,Philadelphia 76ers,2
Miami Heat,Phoenix Suns,1
Miami Heat,Portland Trail Blazers,0
Miami Heat,Sacramento Kings,2
Miami Heat,San Antonio Spurs,0
Miami Heat,Toronto Raptors,1
Miami Heat,Utah Jazz,1
Miami Heat,Washington Wizards,4
Milwaukee Bucks,Atlanta Hawks,1
Milwaukee Bucks,Boston Celtics,1
Milwaukee Bucks,Brooklyn Nets,4
Milwaukee Bucks,Charlotte Hornets,2
Milwaukee Bucks,Chicago Bulls,3
Milwaukee Bucks,Cleveland Cavaliers,1
Milwaukee Bucks,Dallas Mavericks,0
Milwaukee Bucks,Denver Nuggets,0
Milwaukee Bucks,Detroit Pistons,3
Milwaukee Bucks,Golden State Warriors,0
Milwaukee Bucks,Houston Rockets,1
Milwaukee Bucks,Indiana Pacers,3
Milwaukee Bucks,Los Angeles Clippers,2
Milwaukee Bucks,Los Angeles Lakers,1
Milwaukee Bucks,Memphis Grizzlies,1
Milwaukee Bucks,Miami Heat,1
Milwaukee Bucks,Minnesota Timberwolves,1
Milwaukee Bucks,New Orleans Pelicans,1
Milwaukee Bucks,New York Knicks,2
Milwaukee Bucks,Oklahoma City Thunder,1
Milwaukee Bucks,Orlando Magic,2
Milwaukee Bucks,Philadelphia 76ers,2
Milwaukee Bucks,Phoenix Suns,2
Milwaukee Bucks,Portland Trail Blazers,2
Milwaukee Bucks,Sacramento Kings,2
Milwaukee Bucks,San Antonio Spurs,1
Milwaukee Bucks,Toronto Raptors,1
Milwaukee Bucks,Utah Jazz,0
Milwaukee Bucks,Washington Wizards,1
Minnesota Timberwolves,Atlanta Hawks,2
Minnesota Timberwolves,Boston Celtics,0
Minnesota Timberwolves,Brooklyn Nets,1
Minnesota Timberwolves,Charlotte Hornets,1
Minnesota Timberwolves,Chicago Bulls,2
Minnesota Timberwolves,Cleveland Cavaliers,0
Minnesota Timberwolves,Dallas Mavericks,2
Minnesota Timberwolves,Denver Nuggets,2
Minnesota Timberwolves,Detroit Pistons,0
Minnesota Timberwolves,Golden State Warriors,1
Minnesota Timberwolves,Houston Rockets,1
Minnesota Timberwolves,Indiana Pacers,1
Minnesota Timberwolves,Los Angeles Clippers,2
Minnesota Timberwolves,Los Angeles Lakers,2
Minnesota Timberwolves,Memphis Grizzlies,1
Minnesota Timberwolves,Miami Heat,0
Minnesota Timberwolves,Milwaukee Bucks,1
Minnesota Timberwolves,New Orleans Pelicans,0
Minnesota Timberwolves,New York Knicks,0
Minnesota Timberwolves,Oklahoma City Thunder,1
Minnesota Timberwolves,Orlando Magic,2
Minnesota Timberwolves,Philadelphia 76ers,1
Minnesota Timberwolves,Phoenix Suns,3
Minnesota Timberwolves,Portland Trail Blazers,1
Minnesota Timberwolves,Sacramento Kings,1
Minnesota Timberwolves,San Antonio Spurs,0
Minnesota Timberwolves,Toronto Raptors,1
Minnesota Timberwolves,Utah Jazz,1
Minnesota Timberwolves,Washington Wizards,1
New Orleans Pelicans,Atlanta Hawks,1
New Orleans Pelicans,Boston Celtics,1
New Orleans Pelicans,Brooklyn Nets,1
New Orleans Pelicans,Charlotte Hornets,2
New Orleans Pelicans,Chicago Bulls,0
New Orleans Pelicans,Cleveland Cavaliers,1
New Orleans Pelicans,Dallas Mavericks,2
New Orleans Pelicans,Denver Nuggets,1
New Orleans Pelicans,Detroit Pistons,1
New Orleans Pelicans,Golden State Warriors,0
New Orleans Pelicans,Houston Rockets,1
New Orleans Pelicans,Indiana Pacers,1
New Orleans Pelicans,Los Angeles Clippers,1
New Orleans Pelicans,Los Angeles Lakers,2
New Orleans Pelicans,Memphis Grizzlies,2
New Orleans Pelicans,Miami Heat,1
New Orleans Pelicans,Milwaukee Bucks,1
New Orleans Pelicans,Minnesota Timberwolves,3
New Orleans Pelicans,New York Knicks,2
New Orleans Pelicans,Oklahoma City Thunder,0
New Orleans Pelicans,Orlando Magic,1
New Orleans Pelicans,Philadelphia 76ers,1
New Orleans Pelicans,Phoenix Suns,3
New Orleans Pelicans,Portland Trail Blazers,3
New Orleans Pelicans,Sacramento Kings,1
New Orleans Pelicans,San Antonio Spurs,1
New Orleans Pelicans,Toronto Raptors,0
New Orleans Pelicans,Utah Jazz,0
New Orleans Pelicans,Washington Wizards,0
New York Knicks,Atlanta Hawks,1
New York Knicks,Boston Celtics,1
New York Knicks,Brooklyn Nets,2
New York Knicks,Charlotte Hornets,2
New York Knicks,Chicago Bulls,3
New York Knicks,Cleveland Cavaliers,0
New York Knicks,Dallas Mavericks,1
New York Knicks,Denver Nuggets,0
New York Knicks,Detroit Pistons,2
New York Knicks,Golden State Warriors,0
New York Knicks,Houston Rockets,0
New York Knicks,Indiana Pacers,3
New York Knicks,Los Angeles Clippers,0
New York Knicks,Los Angeles Lakers,1
